location,city,local,parameter,value,unit
FR15039,Isère,2020-12-20T04:00:00+01:00,pm10,31.6,µg/m³
FR15039,Isère,2020-12-20T03:00:00+01:00,pm10,27.1,µg/m³
FR15039,Isère,2020-12-20T03:00:00+01:00,pm25,23.9,µg/m³
FR15039,Isère,2020-12-20T03:00:00+01:00,no2,30.3,µg/m³
FR15039,Isère,2020-12-20T02:00:00+01:00,pm25,18.9,µg/m³
FR15039,Isère,2020-12-20T02:00:00+01:00,no2,31.3,µg/m³
FR15039,Isère,2020-12-20T02:00:00+01:00,pm10,25.3,µg/m³
FR15039,Isère,2020-12-20T01:00:00+01:00,pm25,15.8,µg/m³
FR15039,Isère,2020-12-20T01:00:00+01:00,pm10,26.1,µg/m³
FR15039,Isère,2020-12-20T01:00:00+01:00,no2,35.4,µg/m³
FR15039,Isère,2020-12-20T00:00:00+01:00,pm25,16.3,µg/m³
FR15039,Isère,2020-12-20T00:00:00+01:00,pm10,27.8,µg/m³
FR15039,Isère,2020-12-20T00:00:00+01:00,no2,38.2,µg/m³
FR15039,Isère,2020-12-19T23:00:00+01:00,no2,39.7,µg/m³
FR15039,Isère,2020-12-19T23:00:00+01:00,pm10,26.8,µg/m³
FR15039,Isère,2020-12-19T23:00:00+01:00,pm25,16.7,µg/m³
FR15039,Isère,2020-12-19T22:00:00+01:00,pm25,15.6,µg/m³
FR15039,Isère,2020-12-19T22:00:00+01:00,no2,41.3,µg/m³
FR15039,Isère,2020-12-19T22:00:00+01:00,pm10,26.4,µg/m³
FR15039,Isère,2020-12-19T21:00:00+01:00,pm10,31.3,µg/m³
FR15039,Isère,2020-12-19T21:00:00+01:00,no2,43.7,µg/m³
FR15039,Isère,2020-12-19T21:00:00+01:00,pm25,15.3,µg/m³
FR15039,Isère,2020-12-19T20:00:00+01:00,no2,54.4,µg/m³
FR15039,Isère,2020-12-19T20:00:00+01:00,pm25,16.4,µg/m³
FR15039,Isère,2020-12-19T20:00:00+01:00,pm10,35.6,µg/m³
FR15039,Isère,2020-12-19T19:00:00+01:00,pm10,32.1,µg/m³
